anime_id,title,genres,media,episodes,rating,members,start_date,year,season,source
33,Kenpuu Denki Berserk,"Action,Adventure,Demons,Drama,Fantasy,Horror,Military,Romance,Seinen,Supernatural",tv,25,8.49,449454,08/10/1997,1997,fall,manga
43,Koukaku Kidoutai,"Action,Mecha,Police,Psychological,Sci-Fi,Seinen",movie,1,8.29,484008,18/11/1995,1995,fall,manga
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action,Historical,Drama,Romance,Martial Arts,Samurai,Shounen",ova,4,8.72,233615,20/02/1999,1999,winter,manga
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Historical,Romance,Samurai,Shounen",tv,94,8.31,398436,10/01/1996,1996,winter,manga
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai,Historical,Drama,Shounen",movie,1,7.56,44961,20/12/1997,1997,fall,manga
47,Akira,"Action,Military,Sci-Fi,Adventure,Horror,Supernatural,Seinen",movie,1,8.17,597777,16/07/1988,1988,summer,manga
48,.hack//Sign,"Game,Sci-Fi,Adventure,Mystery,Magic,Fantasy",tv,26,6.98,160459,04/04/2002,2002,spring,original
49,Aa! Megami-sama!,"Comedy,Magic,Romance,Seinen,Supernatural",ova,5,7.31,47087,21/02/1993,1993,winter,manga
50,Aa! Megami-sama! (TV),"Comedy,Supernatural,Magic,Romance,Seinen",tv,24,7.35,138027,07/01/2005,2005,winter,manga
51,Tenshi Kinryouku,"Action,Drama,Romance,Shoujo,Supernatural",ova,3,6.31,44376,25/05/2000,2000,spring,manga
52,Kidou Tenshi Angelic Layer,"Sci-Fi,Comedy,Sports,Drama,Shounen",tv,26,7.26,51681,01/04/2001,2001,spring,manga
53,Ai Yori Aoshi,"Harem,Slice of Life,Comedy,Drama,Romance,Seinen",tv,24,7.13,96492,11/04/2002,2002,spring,manga
54,Appleseed (Movie),"Action,Military,Sci-Fi,Police,Drama,Mecha,Shounen",movie,1,7.09,65915,17/04/2004,2004,spring,manga
55,Arc the Lad,"Action,Adventure,Fantasy,Horror,Sci-Fi",tv,26,6.52,14368,05/04/1999,1999,spring,game
56,Avenger,"Adventure,Fantasy,Sci-Fi,Shounen",tv,13,5.9,15925,02/10/2003,2003,fall,original
57,Beck,"Comedy,Drama,Music,Shounen,Slice of Life",tv,26,8.31,266068,07/10/2004,2004,fall,manga
58,Blue Gender,"Adventure,Romance,Mecha,Military,Sci-Fi,Horror,Space,Drama",tv,26,7.05,67002,08/10/1999,1999,fall,original
59,Chobits,"Sci-Fi,Comedy,Drama,Romance,Ecchi,Seinen",tv,26,7.43,411314,03/04/2002,2002,spring,manga
60,Chrno Crusade,"Action,Demons,Historical,Romance,Shounen,Supernatural",tv,24,7.65,200965,25/11/2003,2003,fall,manga
61,D.N.Angel,"Action,Comedy,Magic,Romance,Fantasy,School,Shoujo",tv,26,7.19,169653,03/04/2003,2003,spring,manga
62,D.C.: Da Capo,"Drama,Harem,Magic,Romance",tv,26,6.76,68771,05/07/2003,2003,summer,visual_novel
63,DearS,"Sci-Fi,Harem,Comedy,Romance,Ecchi,Shounen",tv,12,6.61,130824,11/07/2004,2004,summer,manga
64,Rozen Maiden,"Action,Comedy,Drama,Magic,Seinen",tv,12,7.43,179628,08/10/2004,2004,fall,manga
65,Rozen Maiden: Tr・・ｽ､umend,"Action,Comedy,Drama,Magic,Seinen",tv,12,7.64,94860,21/10/2005,2005,fall,manga
66,Azumanga Daioh,"Slice of Life,Comedy,School",tv,26,7.97,268737,09/04/2002,2002,spring,4_koma_manga
67,Basilisk: Kouga Ninpou Chou,"Action,Adventure,Historical,Supernatural,Romance,Samurai,Fantasy",tv,24,7.57,159889,13/04/2005,2005,spring,manga
68,Black Cat (TV),"Sci-Fi,Adventure,Comedy,Super Power,Shounen",tv,23,7.37,236524,07/10/2005,2005,fall,manga
69,Cluster Edge,"Action,Fantasy,Military,Sci-Fi",tv,25,6.34,9420,05/10/2005,2005,fall,original
71,Full Metal Panic!,"Action,Military,Sci-Fi,Comedy,Mecha",tv,24,7.64,420545,08/01/2002,2002,winter,light_novel
72,Full Metal Panic? Fumoffu,"Action,Comedy,School",tv,12,8.06,259377,26/08/2003,2003,summer,light_novel
73,Full Metal Panic! The Second Raid,"Action,Military,Mecha",tv,13,7.96,231344,14/07/2005,2005,summer,light_novel
74,Gakuen Alice,"Comedy,School,Shoujo,Super Power",tv,26,7.64,83712,30/10/2004,2004,fall,manga
75,Soukyuu no Fafner: Dead Aggressor,"Action,Drama,Mecha,Military,Sci-Fi",tv,25,7.29,41188,05/07/2004,2004,summer,original
76,Mahou Shoujo Lyrical Nanoha,"Action,Comedy,Drama,Magic,Super Power",tv,13,7.42,90001,03/10/2004,2004,fall,original
77,Mahou Shoujo Lyrical Nanoha A's,"Action,Comedy,Drama,Magic,Super Power",tv,13,7.98,57715,02/10/2005,2005,fall,original
79,Shuffle!,"Harem,Comedy,Drama,Magic,Romance,Ecchi,Fantasy,School,Seinen",tv,24,7.08,245106,08/07/2005,2005,summer,visual_novel
80,Mobile Suit Gundam,"Action,Military,Sci-Fi,Space,Mecha",tv,43,7.77,100760,07/04/1979,1979,spring,original
81,Mobile Suit Gundam: The 08th MS Team,"Adventure,Drama,Mecha,Military,Romance,Sci-Fi",ova,12,8.02,64390,25/01/1996,1996,winter,original
82,Mobile Suit Gundam 0080: War in the Pocket,"Military,Sci-Fi,Space,Drama,Mecha",ova,6,7.91,44471,25/03/1989,1989,winter,original
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"Military,Sci-Fi,Drama,Romance,Mecha",movie,1,6.79,11626,01/08/1998,1998,summer,original
84,Mobile Suit Gundam 0083: Stardust Memory,"Military,Sci-Fi,Adventure,Space,Drama,Romance,Mecha",ova,13,7.29,34474,23/05/1991,1991,spring,original
85,Mobile Suit Zeta Gundam,"Military,Sci-Fi,Space,Drama,Romance,Mecha",tv,50,7.92,55273,02/03/1985,1985,spring,original
86,Mobile Suit Gundam ZZ,"Space,Comedy,Mecha,Military,Drama,Sci-Fi",tv,47,6.66,31551,01/03/1986,1986,spring,original
87,Mobile Suit Gundam: Char's Counterattack,"Military,Sci-Fi,Space,Drama,Mecha",movie,1,7.68,35082,12/03/1988,1988,winter,novel
88,Mobile Suit Gundam F91,"Drama,Mecha,Military,Sci-Fi,Space",movie,1,6.67,23797,16/03/1991,1991,winter,NaN
89,Mobile Suit Victory Gundam,"Drama,Mecha,Military,Sci-Fi,Space",tv,51,6.75,21271,02/04/1993,1993,spring,original
90,Mobile Suit Gundam Wing,"Action,Military,Sci-Fi,Space,Drama,Mecha",tv,49,7.72,135347,07/04/1995,1995,spring,original
91,Mobile Suit Gundam Wing: Endless Waltz,"Action,Drama,Mecha,Military,Sci-Fi,Space",ova,3,7.76,41800,25/01/1997,1997,winter,original
92,After War Gundam X,"Sci-Fi,Adventure,Space,Drama,Mecha",tv,39,7.32,29496,05/04/1996,1996,spring,original
93,Mobile Suit Gundam SEED,"Action,Drama,Mecha,Military,Romance,Sci-Fi,Space",tv,50,7.78,142768,05/10/2002,2002,fall,original
94,Mobile Suit Gundam SEED Destiny,"Action,Drama,Mecha,Military,Romance,Sci-Fi,Space",tv,50,7.21,91619,09/10/2004,2004,fall,original
95,Turn A Gundam,"Action,Military,Sci-Fi,Adventure,Space,Drama,Romance,Mecha",tv,50,7.7,36713,09/04/1999,1999,spring,original
96,Mobile Fighter G Gundam,"Adventure,Comedy,Drama,Martial Arts,Mecha,Romance,Sci-Fi,Space,Sports",tv,49,7.56,56814,01/04/1994,1994,spring,original
97,Last Exile,"Action,Sci-Fi,Adventure",tv,26,7.82,151679,08/04/2003,2003,spring,original
98,Mai-HiME,"Action,Comedy,Drama,Fantasy,Magic,Mecha,Romance,School,Shoujo Ai",tv,26,7.45,102784,30/09/2004,2004,fall,original
99,Mai-Otome,"Comedy,Drama,Fantasy,Magic",tv,26,7.3,46481,07/10/2005,2005,fall,original
100,Shin Shirayuki-hime Densetsu Pr・・ｽｩtear,"Comedy,Drama,Fantasy,Magic,Romance,Shoujo,Super Power",tv,13,7.19,54622,04/04/2001,2001,spring,manga
101,Air,"Slice of Life,Supernatural,Drama,Romance",tv,12,7.31,263782,07/01/2005,2005,winter,visual_novel
102,Aishiteruze Baby隨倥・繝ｻ,"Comedy,Drama,Romance,Shoujo",tv,26,7.47,91173,03/04/2004,2004,spring,manga
103,Akazukin Chacha,"Adventure,Comedy,Fantasy,Magic,Romance,Shoujo",tv,74,7.38,12283,07/01/1994,1994,winter,manga
104,Ayashi no Ceres,"Adventure,Comedy,Horror,Psychological,Supernatural,Drama,Romance,Shoujo",tv,24,7.22,54055,20/04/2000,2000,spring,manga
105,Boys Be...,"Slice of Life,Comedy,Romance,Shounen",tv,13,6.44,20283,11/04/2000,2000,spring,manga
106,Hana yori Dango,"Drama,Romance,School,Shoujo",tv,51,7.69,49992,08/09/1996,1996,fall,manga
107,Ou Dorobou Jing,"Adventure,Comedy,Fantasy,Sci-Fi,Shounen",tv,13,7.22,33460,15/05/2002,2002,spring,manga
108,Ou Dorobou Jing in Seventh Heaven,"Adventure,Fantasy,Psychological,Comedy,Shounen",ova,3,7.29,11786,21/01/2004,2004,winter,manga
109,Bakuretsu Tenshi,"Adventure,Comedy,Mecha,Sci-Fi",tv,24,6.81,62802,07/04/2004,2004,spring,original
110,Chuuka Ichiban!,"Action,Comedy,Drama,Shounen",tv,52,7.62,16152,27/04/1997,1997,spring,manga
111,Corrector Yui,"Sci-Fi,Adventure,Comedy,Magic",tv,52,6.82,12526,09/04/1999,1999,spring,original
112,Chou Henshin Cosprayers,"Action,Ecchi,Adventure,Fantasy,Magic,Comedy,Super Power,Sci-Fi",tv,8,4.94,7488,12/01/2004,2004,winter,original
113,Uchuu no Stellvia,"Action,Mecha,Romance,Sci-Fi,Space",tv,26,7.38,21263,03/04/2003,2003,spring,original
114,Sakigake!! Cromartie Koukou,"Comedy,School,Shounen",tv,26,7.93,114303,03/10/2003,2003,fall,manga
115,El Hazard: The Alternative World,"Adventure,Comedy,Fantasy",tv,13,6.82,9848,08/01/1998,1998,winter,original
116,El Hazard: The Wanderers,"Adventure,Comedy,Romance,Fantasy",tv,26,6.96,14977,06/10/1995,1995,fall,original
117,El Hazard: The Magnificent World,"Adventure,Comedy,Romance,Fantasy",ova,7,7.3,15725,26/05/1995,1995,spring,original
118,El Hazard 2: The Magnificent World,"Adventure,Comedy,Fantasy",ova,4,6.84,7874,21/03/1997,1997,winter,original
119,Final Approach,"Comedy,Drama,Romance,Slice of Life",tv,13,6.55,32152,03/10/2004,2004,fall,visual_novel
120,Fruits Basket,"Slice of Life,Comedy,Supernatural,Drama,Romance,Shoujo",tv,26,7.69,441447,05/07/2001,2001,summer,manga
121,Fullmetal Alchemist,"Action,Adventure,Comedy,Drama,Fantasy,Magic,Military,Shounen",tv,51,8.15,1201798,04/10/2003,2003,fall,manga
122,Full Moon wo Sagashite,"Music,Comedy,Supernatural,Drama,Romance,Shoujo",tv,52,7.95,92851,06/04/2002,2002,spring,manga
123,Fushigi Yuugi,"Adventure,Fantasy,Magic,Martial Arts,Comedy,Romance,Historical,Drama,Shoujo",tv,52,7.64,99255,06/04/1995,1995,spring,manga
124,Fushigi Yuugi: Eikouden,"Adventure,Fantasy,Romance,Drama,Shoujo",ova,4,6.85,15780,21/12/2001,2001,fall,manga
125,Futakoi,"Comedy,Romance,School",tv,13,6.48,31751,06/10/2004,2004,fall,original
126,Futakoi Alternative,"Comedy,Drama,Romance",tv,13,6.9,28562,07/04/2005,2005,spring,original
127,Gate Keepers,"Action,Sci-Fi,Comedy,Fantasy,Mecha,Shounen",tv,24,6.95,19597,03/04/2000,2000,spring,game
128,Gate Keepers 21,"Action,Drama,Mecha,Sci-Fi,Shounen",ova,6,6.78,9489,24/04/2002,2002,spring,game
129,Gensoumaden Saiyuuki,"Action,Adventure,Comedy,Demons,Drama,Shounen,Supernatural",tv,50,7.58,47033,04/04/2000,2000,spring,manga
130,Saiyuuki Reload,"Action,Adventure,Comedy,Demons,Drama,Josei,Supernatural",tv,25,7.41,28928,02/10/2003,2003,fall,manga
131,Saiyuuki Reload Gunlock,"Action,Adventure,Comedy,Demons,Drama,Josei,Supernatural",tv,26,7.41,19735,02/04/2004,2004,spring,manga
132,GetBackers,"Action,Comedy,Drama,Mystery,Shounen,Super Power,Supernatural",tv,49,7.6,107016,05/10/2002,2002,fall,manga
133,Green Green,"Comedy,Ecchi,Romance,School,Slice of Life",tv,12,6.2,107370,12/07/2003,2003,summer,visual_novel
134,Gunslinger Girl,"Action,Psychological,Military,Drama,Sci-Fi",tv,13,7.41,163927,09/10/2003,2003,fall,manga
135,Hikaru no Go,"Comedy,Game,Shounen,Supernatural",tv,75,8.1,114048,10/10/2001,2001,fall,manga
136,Hunter x Hunter,"Action,Adventure,Super Power,Fantasy,Shounen",tv,62,8.41,438608,16/10/1999,1999,fall,manga
137,Hunter x Hunter: Original Video Animation,"Action,Adventure,Super Power,Shounen",ova,8,8.32,104626,17/01/2002,2002,winter,manga
138,Hunter x Hunter: Greed Island,"Action,Adventure,Super Power,Fantasy,Shounen",ova,8,8.21,120903,05/02/2003,2003,winter,manga
139,Hunter x Hunter: Greed Island Final,"Action,Adventure,Super Power,Fantasy,Shounen",ova,14,8.28,115154,03/03/2004,2004,winter,manga
141,Jinki:Extend,"Mecha,Sci-Fi",tv,12,6.13,10016,06/01/2005,2005,winter,manga
142,Kamikaze Kaitou Jeanne,"Adventure,Comedy,Demons,Drama,Fantasy,Magic,Mystery,Romance,Shoujo",tv,44,7.45,47284,13/02/1999,1999,winter,manga
143,Kannazuki no Miko,"Supernatural,Drama,Magic,Romance,Mecha,Shounen,Shoujo Ai",tv,12,6.86,61017,02/10/2004,2004,fall,manga
144,Kanon,"Drama,Romance,Slice of Life,Supernatural",tv,13,7.11,56666,31/01/2002,2002,winter,visual_novel
145,Kareshi Kanojo no Jijou,"Comedy,Drama,Romance,School,Shoujo,Slice of Life",tv,26,7.61,176089,02/10/1998,1998,fall,manga
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi,Comedy,Drama,Magic,Romance,Ecchi",tv,12,6.75,54788,02/04/2004,2004,spring,original
147,Kimi ga Nozomu Eien,"Drama,Romance,Slice of Life",tv,14,7.23,125805,05/10/2003,2003,fall,visual_novel
148,Kita e.: Diamond Dust Drops,"Drama,Romance,Slice of Life",tv,12,6.61,7947,20/01/2004,2004,winter,visual_novel
149,Loveless,"Action,Mystery,Supernatural,Drama,Romance,Fantasy,Josei,Shounen Ai",tv,12,6.84,123278,07/04/2005,2005,spring,manga
150,Blood+,"Action,Military,Mystery,Horror,Supernatural,Drama,Vampire",tv,50,7.65,325330,08/10/2005,2005,fall,original
151,Re: Cutey Honey,"Action,Sci-Fi,Comedy,Ecchi,Shoujo Ai",ova,3,7.11,23296,24/07/2004,2004,summer,manga
152,Solty Rei,"Action,Sci-Fi,Super Power",tv,24,7.27,25992,07/10/2005,2005,fall,original
153,Juuni Kokuki,"Action,Adventure,Fantasy,Magic,Supernatural",tv,45,8.05,117008,09/04/2002,2002,spring,novel
154,Shaman King,"Action,Adventure,Comedy,Super Power,Supernatural,Shounen",tv,64,7.78,305709,04/07/2001,2001,summer,manga
155,X/1999,"Action,Drama,Fantasy,Horror,Magic,Sci-Fi,Supernatural",movie,1,6.58,31868,03/08/1996,1996,summer,manga
156,X,"Action,Super Power,Drama,Magic,Romance,Fantasy,Shoujo",tv,24,7.43,71022,03/10/2001,2001,fall,manga
157,Mahou Sensei Negima!,"Comedy,Ecchi,Fantasy,Harem,Magic,Romance,School,Shounen,Super Power,Supernatural",tv,26,6.97,123287,06/01/2005,2005,winter,manga
158,Maria-sama ga Miteru,"Slice of Life,Drama,Romance,Shoujo,Shoujo Ai",tv,13,7.33,54731,08/01/2004,2004,winter,light_novel
159,Boukyaku no Senritsu,"Adventure,Fantasy,Horror,Mecha,Psychological,Sci-Fi,Shounen,Space,Supernatural",tv,24,6.33,16820,07/04/2004,2004,spring,manga
160,"Ima, Soko ni Iru Boku","Adventure,Drama,Fantasy,Military,Sci-Fi",tv,13,7.66,111092,14/10/1999,1999,fall,original
161,Peace Maker Kurogane,"Action,Comedy,Historical,Samurai,Shounen",tv,24,7.33,51073,08/10/2003,2003,fall,manga
162,Pita Ten,"Comedy,Fantasy,Kids,Romance,School,Shounen",tv,26,6.94,20677,07/04/2002,2002,spring,manga
163,Power Stone,"Adventure,Comedy,Fantasy,Historical,Shounen",tv,26,6.46,6552,03/04/1999,1999,spring,game
164,Mononoke Hime,"Action,Adventure,Fantasy",movie,1,8.71,921094,12/07/1997,1997,summer,original
165,RahXephon,"Action,Drama,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi",tv,26,7.42,102117,21/01/2002,2002,winter,original
166,Samurai 7,"Historical,Mecha,Samurai,Sci-Fi",tv,26,7.48,112912,12/06/2004,2004,summer,other
167,Scrapped Princess,"Sci-Fi,Adventure,Comedy,Drama,Fantasy,Mecha,Shounen",tv,24,7.41,83102,08/04/2003,2003,spring,light_novel
168,s.CRY.ed,"Action,Sci-Fi,Adventure,Super Power,Drama",tv,26,7.37,73355,04/07/2001,2001,summer,original
169,Shingetsutan Tsukihime,"Action,Horror,Mystery,Romance,Super Power,Supernatural,Vampire",tv,12,6.89,138619,10/10/2003,2003,fall,visual_novel
170,Slam Dunk,"Comedy,Drama,School,Shounen,Sports",tv,101,8.52,212047,16/10/1993,1993,fall,manga
171,Strange Dawn,"Adventure,Drama,Fantasy",tv,13,6.35,4274,11/07/2000,2000,summer,original
173,Tactics,"Mystery,Comedy,Historical,Demons,Supernatural,Drama,Shounen",tv,25,7.22,37071,06/10/2004,2004,fall,manga
174,Tenjou Tenge,"Action,Ecchi,Martial Arts,Comedy,Super Power,School,Shounen",tv,24,6.92,161403,02/04/2004,2004,spring,manga
175,Tokyo Underground,"Action,Adventure,Romance,Sci-Fi,Shounen,Super Power",tv,26,6.62,25706,02/04/2002,2002,spring,manga
176,Triangle Heart: Sweet Songs Forever,"Adventure,Romance",ova,4,6.18,6120,24/07/2003,2003,summer,visual_novel
177,Tsubasa Chronicle,"Action,Adventure,Fantasy,Magic,Romance,Supernatural,Shounen",tv,26,7.54,199474,09/04/2005,2005,spring,manga
178,Ultra Maniac,"Comedy,Magic,Romance,School,Shoujo",tv,26,7.17,28308,20/05/2003,2003,spring,manga
179,Ultra Maniac OVA,"Comedy,Magic,Romance,School",ova,1,6.68,4987,06/08/2002,2002,summer,NaN
180,Vandread,"Action,Ecchi,Mecha,Sci-Fi,Shounen,Space",tv,13,7.2,74496,03/10/2000,2000,fall,original
181,Vandread: The Second Stage,"Action,Ecchi,Mecha,Sci-Fi,Shounen,Space",tv,13,7.42,48182,05/10/2001,2001,fall,original
182,Tenkuu no Escaflowne,"Adventure,Psychological,Romance,Fantasy,Mecha",tv,26,7.69,129945,02/04/1996,1996,spring,original
183,Whistle!,"School,Shounen,Sports",tv,39,7.38,12308,06/05/2002,2002,spring,manga
184,Xenosaga The Animation,"Action,Mecha,Sci-Fi,Shounen,Space",tv,12,6.36,18130,06/01/2005,2005,winter,game
185,Initial D First Stage,"Action,Cars,Drama,Seinen,Sports",tv,26,8.28,244136,19/04/1998,1998,spring,manga
186,Initial D Second Stage,"Action,Cars,Drama,Seinen,Sports",tv,13,8.12,143403,15/10/1999,1999,fall,manga
187,Initial D Third Stage,"Action,Cars,Sports,Drama,Romance,Seinen",movie,1,7.89,119858,13/01/2001,2001,winter,manga
188,Gosenzo San'e,"Comedy,Hentai,Mystery,Supernatural",ova,4,6.1,2404,25/09/1998,1998,summer,original
189,Love Hina,"Comedy,Ecchi,Harem,Romance,Shounen,Slice of Life",tv,24,7.13,229887,19/04/2000,2000,spring,manga
190,Love Hina Again,"Comedy,Drama,Ecchi,Romance,Shounen",ova,3,7.24,77845,26/01/2002,2002,winter,manga
191,Love Hina Christmas Special: Silent Eve,"Slice of Life,Comedy,Romance",special,1,7.34,53710,25/12/2000,2000,fall,manga
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure,Comedy,Romance",special,1,7.21,48623,02/04/2001,2001,spring,NaN
193,Maburaho,"Comedy,Drama,Ecchi,Harem,Magic,Romance,School",tv,24,6.79,87028,14/10/2003,2003,fall,light_novel
194,Macross Zero,"Adventure,Mecha,Military,Sci-Fi,Shounen",ova,5,7.55,33799,21/12/2002,2002,fall,original
195,Onegai隨倥・eacher,"Sci-Fi,Comedy,Drama,Romance,School",tv,12,7.16,150810,10/01/2002,2002,winter,original
196,Onegai隨倥・wins,"Comedy,Drama,Harem,School,Sci-Fi",tv,12,6.87,78889,15/07/2003,2003,summer,original
197,Rizelmine,"Sci-Fi,Comedy,Romance,Ecchi,School",tv,24,6.54,22284,03/04/2002,2002,spring,manga
198,Speed Grapher,"Action,Mystery,Super Power",tv,24,7.35,97316,08/04/2005,2005,spring,original
199,Sen to Chihiro no Kamikakushi,"Adventure,Supernatural,Drama",movie,1,8.81,1331793,20/07/2001,2001,summer,original
200,Tenshi na Konamaiki,"Comedy,Magic,Romance,Shounen",tv,50,7.47,23271,06/04/2002,2002,spring,manga
201,Video Girl Ai,"Comedy,Drama,Ecchi,Romance",ova,6,7.21,23589,27/03/1992,1992,winter,manga
202,Wolf's Rain,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",tv,26,7.82,278030,07/01/2003,2003,winter,original
203,Words Worth,"Adventure,Hentai,Demons,Magic,Fantasy",ova,5,6.75,7574,25/08/1999,1999,summer,visual_novel
204,Yumeria,"Action,Comedy,Ecchi,Harem,Super Power",tv,12,6.1,25213,09/01/2004,2004,winter,visual_novel
205,Samurai Champloo,"Action,Adventure,Comedy,Historical,Samurai,Shounen",tv,26,8.5,939670,20/05/2004,2004,spring,original
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action,Adventure,Drama,Magic,Romance,Fantasy",tv,27,7.15,25956,01/04/1998,1998,spring,novel
207,Lodoss-tou Senki,"Action,Adventure,Fantasy,Magic,Shounen,Supernatural",ova,13,7.39,52647,30/06/1990,1990,spring,novel
208,R.O.D: Read or Die,"Action,Sci-Fi,Adventure,Mystery,Historical,Magic",ova,3,7.66,57730,23/05/2001,2001,spring,light_novel
209,R.O.D: The TV,"Action,Sci-Fi,Adventure,Comedy,Super Power,Drama",tv,26,7.55,62215,01/09/2003,2003,fall,light_novel
210,Ranma ・ゑｽｽ,"Slice of Life,Comedy,Martial Arts,Fantasy,Shounen",tv,161,7.76,201477,15/04/1989,1989,spring,manga
211,Pure Mail,Hentai,ova,2,6.25,3182,25/09/2001,2001,summer,visual_novel
212,Project A-Ko,"Action,Adventure,Comedy,Mecha,Sci-Fi,Super Power",movie,1,6.85,14859,21/06/1986,1986,spring,original
213,Pia Carrot e Youkoso!!,"Comedy,Romance,Hentai",ova,3,6.02,3114,24/10/1997,1997,fall,NaN
214,Pia Carrot e Youkoso!! 2,"Comedy,Romance,Hentai",ova,3,6.14,2130,23/10/1998,1998,fall,NaN
215,Pia Carrot e Youkoso!! 2 DX,"Comedy,Romance",ova,6,6.28,2143,18/12/1999,1999,fall,visual_novel
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy,Romance",movie,1,5.92,2473,19/10/2002,2002,fall,visual_novel
217,Shin Angel,"Comedy,Drama,Hentai,Romance",ova,5,6.27,2491,21/10/1994,1994,fall,NaN
218,Kidou Senkan Nadesico,"Action,Comedy,Mecha,Military,Parody,Romance,Sci-Fi,Shounen,Space",tv,26,7.52,44513,01/10/1996,1996,fall,original
219,Kidou Senkan Nadesico: The Prince of Darkness,"Action,Comedy,Drama,Mecha,Psychological,Sci-Fi,Shounen,Space",movie,1,6.76,13642,01/08/1998,1998,summer,original
220,Kuro no Danshou,"Hentai,Horror",ova,4,5.73,2310,29/10/1999,1999,fall,NaN
221,Mezzo Forte,"Action,Comedy,Hentai,Sci-Fi",ova,2,6.64,25237,25/05/2000,2000,spring,original
222,Mezzo DSA,"Action,Adventure,Comedy,Mystery,Sci-Fi",tv,13,6.67,17528,04/01/2004,2004,winter,original
223,Dragon Ball,"Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",tv,153,7.98,772558,26/02/1986,1986,winter,manga
225,Dragon Ball GT,"Action,Sci-Fi,Adventure,Comedy,Super Power,Magic,Fantasy,Shounen",tv,64,6.47,495030,07/02/1996,1996,winter,manga
226,Elfen Lied,"Action,Horror,Psychological,Supernatural,Drama,Romance,Seinen",tv,13,7.55,1230901,25/07/2004,2004,summer,manga
